Code postal,(Plusieurs éléments),,,
Code ID commune,(Tous),,,
,,,,
Étiquettes de lignes,Somme de Valeur fonciere,Somme de Surface reelle bati,Somme de Surface Carrez du 1er lot,Somme de Prix au m²
BAR SUR AUBE,84000,86,87.42,960.8785175
COLOMBE LA FOSSE,250000,168,231.65,1079.214332
LES NOES PRES TROYES,145000,100,105.62,1372.846052
NOGENT SUR SEINE,62000,49,49.8,1244.97992
PONTSAINTE MARIE,126000,84,84.64,1488.657845
ROMILLY SUR SEINE,300000,287,350.34,856.3110122
SAINT ANDRE LES VERGERS,1746000,1321,1292.6,1350.765898
TRAINEL,42660,56,55.44,769.4805195
Total général,2755660,2151,2257.51,1220.663474
