Bien
id;No voie;Type de voie;Voie;Surface Carrez du 1er lot;Type local;Surface reelle bati;Nombre pieces principales
;190;RUE;CENTRALE;50,42;Appartement;52;2
;347;RUE;DU CHATEAU;48,22;Appartement;48;3
;58;AV;DU MONT BLANC;130,8;Appartement;130;6
;140;RUE;DE L'ABBE JOLIVET;109,22;Maison;109;5
;39;RUE;BUFFON;108,65;Appartement;91;4
;28;AV;JEAN FALCONNIER;31,65;Appartement;32;2
;8;RUE;DE GENEVE;52,58;Appartement;52;2
;2;RUE;DU RECULET;58,71;Appartement;60;2
;1403;RUE;JEAN DE GINGINS;93,23;Maison;96;4
;226;ALL;DES CAPUCINES;117;Maison;117;5
;276;RTE;DE POUGNY;35,6;Appartement;36;2
;79;CRS;DE VERDUN;138,03;Appartement;137;5
;77;RUE;DU COMMERCE;42;Appartement;43;2
;240;RUE;DE PRE BAILLY;45,36;Appartement;45;2
;3;RUE;TURENNE;82,6;Appartement;84;4
;44;ALL;DU SQUARE DE LAUSANNE;88,11;Appartement;88;4
;59;RUE;ALEXANDRE BERARD;164,87;Appartement;143;6
;282;CHE;DES LONGES RAYES;42,2;Appartement;42;2
;54;GR;GRANDE RUE;68,11;Appartement;65;3
;1;RUE;DE GEX;82,59;Appartement;75;3
;17;LOT;LES JARDINS DE CHEVRY;30,23;Appartement;30;1
;329;RUE;DES CARPIERES;24,8;Appartement;25;1
;369;AV;CHARLES DE GAULLE;52,6;Appartement;52;2
;154;RUE;SUR LA VIGNETTE;91,69;Appartement;88;3
;6;RUE;DES USINIERS;45,54;Appartement;45;1
;2;RUE;DU JURA;84,24;Appartement;83;3
;54;RUE;MARCEL DEMIA;68,23;Appartement;68;3
;269;CHE;DE CHARIGNIN;62,03;Appartement;64;3
;322;RUE;DE BRETIGNY;112,93;Maison;109;4
;132;ALL;DES HETRES;131,91;Appartement;133;4
;80;RUE;DE MEYRIN;63,58;Appartement;63;3
;4;RUE;DE LA MAIRIE;35,86;Appartement;50;3
;79;GR;GRANDE RUE DE BULLIEZ;70,09;Appartement;74;3
;8;RUE;DE LA BIENNE;200;Appartement;121;4
;29;RUE;REINE CLOTILDE;54,84;Appartement;62;2
;3;RUE;STE MARIE;72,75;Appartement;73;4
;956;RTE;DE BOURG;94,09;Maison;88;2
;1;AV;DU BIJOU;71,08;Appartement;71;3
;58;CHE;DE LA PLANCHE BRULEE;97,03;Maison;101;4
;211;RUE;CHANTEPIE;44,48;Appartement;45;2
;25;RUE;DE LA ROCHE SAMUEL;64,21;Appartement;63;2
;25;RUE;DE LA COMMUNE 1871;70,1;Maison;68;3
;6;;DE LA TOUR;76,7;Appartement;90;4
;91;CHE;DE LA PLANCHE BRULEE;133,77;Appartement;120;4
;3;RUE;DU DOCTEUR GREZEL;107,61;Appartement;106;5
;28;RUE;DU DOC CHARCOT;42,78;Appartement;43;2
;312;RUE;DES TERRASSES;124,55;Maison;120;5
;10;RUE;AMPERE;68,11;Appartement;67;2
;1;RUE;GERARD DE NERVAL;70,78;Appartement;68;3
;10;RUE;DES HAUTAINS;112,3;Appartement;112;5
;102;MAIL;DU NEUTRINO;95,43;Maison;95;4
;84;RUE;DE MEYRIN;63,45;Appartement;63;3
;115;RUE;MASONOD;77,3;Appartement;75;4
;812;RUE;DES VERTES CAMPAGNES;164,18;Maison;160;6
;26;CHE;DE LA PLANCHE BRULEE;66,95;Appartement;67;3
;2;RUE;DE CHAMP FUSY;30,62;Appartement;31;1
;53;ALL;DES PRUNUS;165,92;Appartement;166;5
;541;RUE;DES MONTS JURA;51,99;Appartement;56;2
;386;CHE;DES SOUPIRS;63,17;Appartement;63;3
;663;RTE;BLANCHE;84,97;Appartement;88;3
;377;RUE;DES ABATTOIRS;88,7;Appartement;87;4
;60;ALL;DES FRERES CAUDRON;50,64;Appartement;51;2
;86;RUE;DE LA REPUBLIQUE;38;Appartement;39;1
;148;IMP;DU SAUGY;70,53;Appartement;71;3
;77;LOT;CLOS CHAMP VRILLARD;105,68;Maison;143;6
;27;RLE;DE L EGLISE;46,12;Appartement;53;3
;5;PL;DE L EGLISE;37,63;Appartement;39;2
;94;ALL;SIMON VAN DER MEER;87,38;Appartement;89;4
;242;RUE;DE PRE BAILLY;50,33;Appartement;50;2
;8;RTE;DE DIVONNE;134,17;Appartement;136;4
;24;RUE;LAMARTINE;47,65;Appartement;62;3
;88;RUE;DU PETIT CHAMP;99,13;Maison;102;4
;27;RUE;DES VERGERS;43,42;Appartement;43;2
;250;RUE;DES FRENES;83,6;Maison;83;4
;13;RUE;JEAN MONNET;54,65;Appartement;55;2
;2;RUE;DE LA BATISSE;81,15;Appartement;81;3
;33;RUE;DE GENEVE;53,43;Appartement;56;3
;30;RUE;DE VERSOIX;74,85;Appartement;75;3
;322;RUE;DE BRETIGNY;90,33;Maison;90;4
;923;RTE;DE MURY;99,39;Maison;86;4
;77;RUE;LA PIECE;123,16;Maison;118;5
;103;MAIL;DU NEUTRINO;110,13;Maison;110;5
;33;MAIL;DU NEUTRINO;71,43;Appartement;70;3
;75;RUE;DES VERGERS;56,02;Appartement;56;3
;27;RTE;DE CESSY;85,12;Appartement;85;4
;60;RUE;DE SAVOIE;75;Appartement;74;4
;90;RUE;DE LAUSANNE;135,68;Appartement;133;4
;72;RUE;DE LA REPUBLIQUE;35,59;Appartement;33;2
;198;RTE;DE VOUVRAY;62,38;Appartement;63;3
;198;RTE;DE VOUVRAY;92,04;Appartement;100;4
;786;AV;DES VOIRONS;46,05;Appartement;46;2
;256;AV;DE BELLE FERME;34,56;Appartement;34;2
;1143;RUE;CLAIRES FONTAINES;43,23;Appartement;43;2
;40;RUE;VICTOR HUGO;83,82;Maison;80;4
;150;RUE;DE LA REPUBLIQUE;38,67;Appartement;39;2
;14;RUE;CASTELLION;88;Appartement;92;3
;38;AV;DE VESSY;56,96;Appartement;57;2
;256;AV;DE BELLE FERME;55,4;Appartement;55;3
;36;RUE;DES APOTRES;74,72;Appartement;79;2
;91;;GRAND' RUE;295,21;Appartement;190;6
;88;RUE;DE LA PIERRE;222,97;Maison;170;3
;223;RUE;DES PRALETS;113,52;Appartement;113;4
;232;RUE;DE LA ROCHETTE;127,2;Appartement;127;4
;3;RUE;GEORGES CHARPAK;47,6;Appartement;49;2
;9;RUE;DE LA FLAUDIERE;65,29;Appartement;74;3
;392;RTE;DE VOUVRAY;81,24;Appartement;83;4
;5186;;MATAFELON;42,89;Appartement;32;2
;8;RUE;GEORGES MARIN;69,66;Appartement;69;3
;6066;RUE;DES BATTOIRS;69,65;Appartement;69;3
;1;ESPA;CHARLES DE GAULLE;64,44;Appartement;64;3
;54;RUE;ANTOINE JACQUET;88,83;Appartement;88;4
;5208;;LE BULOZ;35,3;Appartement;35;3
;7;RUE;DU DOCTEUR GREZEL;45,5;Appartement;40;2
;247;CHE;DE PRE DE PLANCHE;73,77;Maison;77;4
;120;CHE;DU MARTINET;67,94;Appartement;67;3
;12;RUE;DU MURET;22,2;Appartement;30;1
;47;RUE;DU CHANE;48,38;Appartement;48;2
;1;RUE;JOLIOT CURIE;56,65;Appartement;56;2
;15;CHE;DU LAVOIR;32,27;Appartement;32;2
;68;RUE;DES USINIERS;61,54;Appartement;68;4
;5001;ALL;HONORE DE BALZAC;82,37;Maison;80;4
;9;RUE;DES FRERES SERPOLLET;53,81;Appartement;53;3
;231;RUE;DE LA RABOUDIERE;71,8;Appartement;71;3
;80;RUE;DE MEYRIN;63,54;Appartement;63;3
;20;;HAMEAU DES CHENES;101,52;Maison;102;6
;47;CHE;DES ECOLIERS;51,7;Appartement;42;2
;48;RUE;DE GENEVE;114,17;Appartement;115;4
;40;IMP;DES PISTES;21,48;Appartement;21;2
;4;IMP;DU PEGAN;36,21;Appartement;36;1
;4;PL;DE L HOTEL DE VILLE;44,24;Appartement;48;2
;76;RUE;COLONEL XAVIER RENDU;54,7;Appartement;54;2
;18;AV;FRANCIS BLANCHARD;51;Appartement;54;2
;711;RUE;DES MORAINES;42,92;Appartement;41;2
;120;CHE;DU MARTINET;68,08;Appartement;67;3
;35;RUE;BUFFON;70,15;Appartement;69;3
;20;RUE;PARMENTIER;57,23;Appartement;56;2
;461;RUE;JEAN-JACQUES ROUSSEAU;132,16;Appartement;131;5
;114;RUE;DU CONTE DES PERMISSIONS;58,62;Appartement;63;2
;38;RUE;JOSEPH MARION;61,89;Appartement;60;3
;242;RUE;DES VERTES CAMPAGNES;92,45;Appartement;105;3
;44;RUE;PASTEUR;71,29;Appartement;71;3
;34;RUE;DES ECOLES;138,05;Maison;101;5
;183;RUE;DU VIEUX BOURG;45,12;Appartement;30;1
;54;RUE;ARISTIDE BRIAND;70,45;Appartement;75;3
;99;RUE;DE L AMITIE;78,54;Appartement;77;4
;16;RUE;DES HAUTAINS;52,58;Appartement;58;2
;5245;;LES MARS;30,98;Appartement;22;2
;17;AV;DES ALPES;95,66;Appartement;106;5
;35;RUE;DES PRELES;87,23;Appartement;87;4
;78;AV;DU GEN SARRAIL;92,47;Appartement;92;5
;22;RUE;DE L AVENIR;89,2;Appartement;89;5
;7;RUE;TURENNE;28,8;Appartement;40;1
;86;RUE;GUSTAVE EIFFEL;46,68;Appartement;46;2
;16;AV;DU JURA;2,36;Appartement;2;0
;6;RUE;GEORGES MARIN;68,92;Appartement;68;3
;346;RUE;DE PRE BAILLY;68,45;Appartement;68;3
;195;IMP;DU SAUGY;102,52;Maison;103;4
;6066;RUE;DES BATTOIRS;59,67;Appartement;59;2
;348;RUE;DE PRE BAILLY;77,86;Appartement;77;4
;72;CHE;DES COLLINES;105,12;Maison;106;4
;86;RUE;DE MEYRIN;63,27;Appartement;63;3
;181;RUE;PARC JEAN MONNET;133,24;Appartement;133;4
;28;CHE;DU PEUDEX;67,33;Appartement;63;3
;62;CHE;DU PONT DE GREMAZ;68,69;Appartement;65;3
;1;ALL;ALBERT CAMUS;58,3;Appartement;59;2
;10;RUE;DES HAUTAINS;111,06;Appartement;112;5
;13;PL;DES FOURS;117,63;Appartement;117;5
;4;CHE;DU MARAIS;85,12;Appartement;82;4
;67;RTE;DE GENEVE;42,01;Appartement;42;2
;644;RUE;D ARBERE;96,46;Maison;96;5
;67;RTE;DE CHAVORNOD;57,5;Appartement;58;3
;96;RUE;DU JURA;90,4;Appartement;90;4
;282;CHE;DES LONGES RAYES;42,59;Appartement;42;2
;152;GR;GRANDE RUE;50,11;Appartement;35;1
;170;RUE;DES TERREAUX;32,6;Appartement;33;2
;399;RUE;DU COTEILLON;103,62;Maison;88;4
;780;RUE;DE LA REPUBLIQUE;135,89;Appartement;60;2
;53;ALL;DES PRUNUS;166,98;Appartement;166;5
;71;CHE;DE LA PRALAY;58,13;Appartement;65;2
;46;AV;DES NATIONS;38,67;Appartement;39;2
;13;RUE;DE LAYE;120,5;Maison;110;5
;151;RTE;DE BELLEVILLE;86,8;Appartement;90;3
;9;RUE;NEUVE;41,82;Appartement;47;1
;768;RUE;EDOUARD HERRIOT;56,63;Appartement;56;2
;172;RUE;HECTOR BERLIOZ;79,06;Appartement;77;3
;2;RUE;DE LYON;65,82;Appartement;65;3
;1172;RTE;DE GENEVE;38,43;Appartement;44;3
;62;CHE;DU BONATIER;85,95;Appartement;85;4
;40;MTE;DES CANNES;48,42;Appartement;48;2
;12;RUE;LUCIEN QUITTELIER;80,87;Maison;82;4
;27;RUE;FERNAND THUILLART;165,11;Appartement;156;6
;1;RUE;CONDORCET;71,5;Appartement;72;4
;15;RUE;DU REMPART SAINT REMY;82,54;Appartement;82;3
;11;RUE;BONNOT;39,97;Appartement;41;2
;2;RUE;MAZIN;146,68;Appartement;158;4
;13;RUE;PAUL DOUMER;31,6;Appartement;40;2
;20;RUE;DES OEUVRES DE CHINE;92;Maison;80;4
;13;RUE;VINCHON;73,5;Appartement;65;3
;15;RUE;DU CHANGE;23,82;Appartement;30;1
;13;RUE;PAUL DOUMER;37,3;Appartement;40;2
;13;RUE;PAUL DOUMER;49,1;Appartement;53;2
;27;RUE;CARLIER HENNECART;30,94;Appartement;31;1
;9001;RUE;JEAN DE LA FONTAINE;65,66;Maison;67;3
;27;RUE;JEAN RACINE;27,19;Appartement;27;1
;10;PL;DU MARCHE;46,92;Appartement;53;2
;32;RUE;DE LA LINOTTE;78,3;Maison;82;4
;1;RUE;CONDORCET;88,5;Appartement;90;5
;1;RLE;DES NEUFLIERS;24,05;Appartement;27;1
;30;RUE;DE L EGLISE;92,54;Maison;92;4
;1;PL;BOUZIER;60,05;Appartement;62;3
;1;RUE;CONDORCET;89;Appartement;90;5
;30;RUE;SERURIER;23,86;Appartement;27;1
;16;RUE;DE MONTEVIDEO;25;Appartement;64;3
;108;BD;GAMBETTA;148,41;Appartement;155;5
;32;RUE;DE LA LINOTTE;47,44;Appartement;48;2
;32;RUE;DE LA LINOTTE;80,14;Maison;90;4
;32;RUE;DE LA LINOTTE;53,42;Appartement;53;3
;9003;RUE;ROBERT GODARD;66,36;Appartement;67;3
