Commune
id;Code postal;Commune;Code commune
;1370.0;SAINT-ETIENNE-DU-BOIS;350
;1170.0;CHEVRY;103
;1220.0;DIVONNE-LES-BAINS;143
;1630.0;PERON;288
;1200.0;VALSERHONE;33
;1350.0;CULOZ;138
;1630.0;ST-GENIS-POUILLY;354
;1630.0;ST-GENIS-POUILLY;354
;1220.0;DIVONNE-LES-BAINS;143
;1630.0;ST-GENIS-POUILLY;354
;1630.0;PERON;288
;1100.0;OYONNAX;283
;1130.0;ST-GERMAIN-DE-JOUX;357
;1170.0;GEX;173
;1200.0;VALSERHONE;33
;1220.0;DIVONNE-LES-BAINS;143
;1500.0;AMBERIEU-EN-BUGEY;4
;1170.0;CESSY;71
;1150.0;SAULT-BRENAZ;396
;1210.0;FERNEY-VOLTAIRE;160
;1170.0;CHEVRY;103
;1170.0;SEGNY;399
;1150.0;LAGNIEU;202
;1130.0;LE POIZAT-LALLEYRIAT;204
;1170.0;GEX;173
;1630.0;ST-GENIS-POUILLY;354
;1500.0;AMBERIEU-EN-BUGEY;4
;1300.0;BELLEY;34
;1210.0;ORNEX;281
;1630.0;ST-GENIS-POUILLY;354
;1210.0;FERNEY-VOLTAIRE;160
;1350.0;CULOZ;138
;1150.0;LAGNIEU;202
;1590.0;DORTAN;148
;1500.0;AMBERIEU-EN-BUGEY;4
;1300.0;BELLEY;34
;1150.0;LAGNIEU;202
;1210.0;FERNEY-VOLTAIRE;160
;1210.0;FERNEY-VOLTAIRE;160
;1280.0;PREVESSIN-MOENS;313
;1110.0;BRENOD;60
;1500.0;AMBERIEU-EN-BUGEY;4
;1640.0;SAINT-JEAN-LE-VIEUX;363
;1210.0;FERNEY-VOLTAIRE;160
;1130.0;NANTUA;269
;1500.0;SAINT-DENIS-EN-BUGEY;345
;1710.0;THOIRY;419
;1100.0;OYONNAX;283
;1100.0;BELLIGNAT;31
;1630.0;ST-GENIS-POUILLY;354
;1280.0;PREVESSIN-MOENS;313
;1210.0;FERNEY-VOLTAIRE;160
;1110.0;PLATEAU D'HAUTEVILLE;185
;1170.0;GEX;173
;1210.0;FERNEY-VOLTAIRE;160
