Vente
id;Date mutation;Valeur fonciere
;2020-02-03 00:00:00;56000
;2020-01-02 00:00:00;165000
;2020-01-08 00:00:00;720000
;2020-01-06 00:00:00;429250
;2020-01-07 00:00:00;220900
;2020-01-21 00:00:00;42000
;2020-01-07 00:00:00;262000
;2020-01-08 00:00:00;190000
;2020-01-16 00:00:00;563130
;2020-01-17 00:00:00;535000
;2020-01-16 00:00:00;330000
;2020-01-27 00:00:00;110600
;2020-01-30 00:00:00;50000
;2020-01-09 00:00:00;212000
;2020-01-15 00:00:00;160000
;2020-01-20 00:00:00;561550
;2020-01-28 00:00:00;358000
;2020-01-22 00:00:00;220000
;2020-01-27 00:00:00;79300
;2020-01-06 00:00:00;285000
;2020-01-27 00:00:00;123100
;2020-01-16 00:00:00;107500
;2020-01-30 00:00:00;128810
;2020-02-05 00:00:00;31000
;2020-01-21 00:00:00;125000
;2020-01-31 00:00:00;285000
;2020-02-03 00:00:00;140500
;2020-01-27 00:00:00;101050
;2020-01-31 00:00:00;530000
;2020-01-29 00:00:00;486415
;2020-01-28 00:00:00;185000
;2020-01-16 00:00:00;131376
;2020-01-23 00:00:00;155000
;2020-01-31 00:00:00;150000
;2020-02-03 00:00:00;67000
;2020-01-13 00:00:00;114000
;2020-02-07 00:00:00;143850
;2020-01-23 00:00:00;237900
;2020-01-24 00:00:00;425000
;2020-02-06 00:00:00;220000
;2020-02-07 00:00:00;55000
;2020-02-07 00:00:00;164665
;2020-02-10 00:00:00;89000
;2020-02-06 00:00:00;475150
;2020-02-12 00:00:00;132500
;2020-02-05 00:00:00;68000
;2020-01-30 00:00:00;570840
;2020-02-03 00:00:00;135700
;2020-02-05 00:00:00;62500
;2020-02-03 00:00:00;332500
;2020-02-07 00:00:00;428000
;2020-01-28 00:00:00;210000
;2020-02-12 00:00:00;50000
;2020-01-28 00:00:00;592487
;2020-02-10 00:00:00;295000
;2020-02-12 00:00:00;133000
;2020-01-29 00:00:00;580450
;2020-02-20 00:00:00;105500
;2020-02-04 00:00:00;152900
;2020-02-05 00:00:00;352300
;2020-02-17 00:00:00;215000
;2020-02-14 00:00:00;128460
;2020-02-14 00:00:00;90500
;2020-02-11 00:00:00;305500
;2020-02-18 00:00:00;430000
;2020-02-04 00:00:00;152470
;2020-02-13 00:00:00;55000
;2020-02-18 00:00:00;465660,47
;2020-02-12 00:00:00;167550
;2020-02-11 00:00:00;212862
;2020-02-19 00:00:00;54000
;2020-02-14 00:00:00;390000
;2020-02-24 00:00:00;160000
;2020-02-25 00:00:00;156580
;2020-02-18 00:00:00;129258
;2020-02-28 00:00:00;210000
;2020-02-17 00:00:00;189350
;2020-02-21 00:00:00;310000
;2020-02-25 00:00:00;435000
;2020-02-20 00:00:00;505000
;2020-02-25 00:00:00;442100
;2020-02-17 00:00:00;506000
;2020-02-12 00:00:00;292000
;2020-03-03 00:00:00;200000
;2020-02-27 00:00:00;315800
;2020-02-28 00:00:00;167000
;2020-02-25 00:00:00;640000
;2020-02-28 00:00:00;74000
;2020-03-04 00:00:00;232550
;2020-03-04 00:00:00;90000
;2020-03-09 00:00:00;282000
;2020-03-03 00:00:00;152000
;2020-03-17 00:00:00;164000
;2020-03-05 00:00:00;389500
;2020-03-11 00:00:00;43000
;2020-02-28 00:00:00;139130
;2020-03-11 00:00:00;229100
;2020-03-10 00:00:00;222450
;2020-03-16 00:00:00;147500
;2020-03-10 00:00:00;440000
;2020-03-02 00:00:00;495000
;2020-03-11 00:00:00;510000
;2020-03-27 00:00:00;170000
;2020-03-03 00:00:00;251500
;2020-03-19 00:00:00;98000
;2020-03-25 00:00:00;132300
;2020-03-10 00:00:00;126000
;2020-03-16 00:00:00;131500
;2020-03-12 00:00:00;266960
;2020-03-31 00:00:00;114500
;2020-03-11 00:00:00;181970
;2020-03-19 00:00:00;70000
;2020-04-01 00:00:00;45000
;2020-04-07 00:00:00;375000
;2020-03-18 00:00:00;247000
;2020-03-16 00:00:00;16300
