DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,flag
2018-01-01,12,8,61,9,11,8,8.9,79,9.5,1018,41.75,12,8,7,113.0,0.0,3.0,5.1,bad,False
2018-01-02,13,6,26,8,12,13,0.6,96,9.0,1020,87.875,13,12,6,122.0,0.0,3.0,3.3,bad,False
2018-01-03,15,10,40,11,12,10,5.5,82,8.5,1017,91.5,15,13,7,122.0,0.0,3.0,3.3,bad,False
2018-01-04,14,11,45,14,14,11,0.0,89,10.0,1011,90.125,14,12,10,116.0,0.0,3.0,3.3,bad,False
2018-01-05,12,7,21,10,11,8,1.5,85,9.875,1005,62.375,12,10,7,116.0,0.0,3.0,6.9,bad,False
2018-01-06,9,6,8,6,9,6,0.0,83,10.0,1009,90.625,10,5,7,122.0,0.0,2.0,3.3,bad,False
2018-01-07,9,5,40,6,8,7,5.9,89,8.375,1014,97.75,9,6,1,122.0,0.0,2.0,3.3,very bad,False
2018-01-08,9,5,26,6,8,7,0.0,90,10.0,1014,62.375,9,6,2,116.0,0.0,2.0,5.1,very bad,False
2018-01-09,11,5,20,5,11,10,3.1,96,7.625,1011,69.125,11,8,4,122.0,0.0,2.0,5.1,very bad,False
2018-01-10,11,7,13,7,11,8,0.4,88,9.375,1010,36.625,12,8,6,122.0,0.0,3.0,8.7,bad,False
2018-01-11,10,5,10,5,10,6,0.0,88,9.0,1023,45.5,11,7,7,116.0,0.0,2.0,8.7,very bad,False
2018-01-12,8,3,9,3,7,4,0.0,94,6.0,1026,31.625,8,4,3,116.0,0.0,1.0,8.7,very bad,False
2018-01-13,7,3,20,3,6,5,0.0,86,10.0,1022,80.625,7,3,0,122.0,0.0,2.0,3.3,very bad,False
2018-01-14,9,5,11,6,9,6,1.3,95,7.875,1020,68.125,10,6,3,116.0,0.0,2.0,5.1,very bad,False
2018-01-15,12,5,40,6,10,11,2.8,92,9.625,1021,73.125,12,11,6,116.0,0.0,3.0,3.4,very bad,False
2018-01-16,12,9,32,11,12,9,0.0,87,10.0,1011,86.5,12,9,7,119.0,0.0,3.0,3.4,bad,False
2018-01-17,10,5,25,5,10,8,0.0,76,10.0,1022,52.125,10,5,2,119.0,0.0,2.0,8.7,very bad,False
2018-01-18,12,8,36,11,12,10,0.0,92,10.0,1018,82.75,12,11,9,116.0,0.0,1.0,3.4,bad,False
2018-01-19,10,6,23,6,10,6,0.7,88,9.875,1020,37.0,10,6,5,116.0,0.0,1.0,3.4,unknown,True
2018-01-20,13,7,42,10,13,13,7.5,91,9.25,1018,98.5,13,11,9,122.0,0.0,1.0,3.4,bad,False
2018-01-21,13,11,32,12,13,12,1.3,94,8.75,1019,99.625,13,12,10,122.0,0.0,1.0,3.4,bad,False
2018-01-22,13,8,39,13,13,9,0.0,90,9.0,1026,78.5,13,11,10,116.0,0.0,1.0,3.4,bad,False
2018-01-23,15,8,25,11,15,12,0.6,97,7.0,1026,74.75,15,12,10,122.0,0.0,1.0,5.2,bad,False
2018-01-24,13,11,35,11,13,12,2.0,89,7.875,1024,78.875,13,11,8,122.0,0.0,1.0,5.2,bad,False
2018-01-25,10,6,15,9,10,7,0.7,92,9.0,1017,60.25,10,9,6,116.0,0.0,1.0,6.9,bad,False
2018-01-26,10,4,16,4,10,6,0.0,89,10.0,1028,16.375,10,5,5,113.0,0.0,1.0,8.7,very bad,False
2018-01-27,9,2,13,2,9,7,0.0,88,10.0,1036,40.375,9,6,4,119.0,0.0,1.0,9.6,very bad,False
2018-01-28,12,9,14,10,12,11,0.2,98,6.25,1039,97.125,12,11,9,248.0,0.0,1.0,4.8,bad,False
2018-01-29,12,9,15,10,11,10,0.1,95,5.25,1038,88.0,12,10,9,119.0,0.0,1.0,4.8,bad,False
2018-01-30,12,7,13,7,12,8,0.0,94,6.0,1034,70.75,12,9,8,116.0,0.0,1.0,6.5,bad,False
2018-01-31,11,7,34,9,10,9,4.7,92,9.625,1026,86.875,11,9,6,116.0,0.0,1.0,6.6,bad,False
